ID,math9,math9_score,math10,math10_score,eng9,eng9_score,eng10,eng10_score,hist9,hist9_score,bio9,bio_score,phys10,phys10_score,chem11,chem11_score
2240039,Algebra 1,65,Geometry,78.294998168945313,English 1 Hon,15.439999580383301,English 2,90.900001525878906,AP Human Geography,5.9999998658895493E-2,Biology 1 Hon,25,Physics 1,85.674999237060547,,
2240039,Algebra 1,65,Geometry,78.294998168945313,English 1 Hon,15.439999580383301,English 2,90.900001525878906,World Affairs,43.879999995231628,Biology 1,65,Physics 1,85.674999237060547,,
2240039,Algebra 1,65,Geometry,78.294998168945313,English 1 Hon,15.439999580383301,English 2,90.900001525878906,World Affairs,43.879999995231628,Biology 1 Hon,25,Physics 1,85.674999237060547,,
2240040,Algebra 1,65,,,English 1,75,English 1,93.139999389648438,,,,,,,,
2240040,Algebra 1,65,,,English 1,75,English 1 In,82.800003051757813,,,,,,,,
2240042,Algebra 1,74.310001373291016,Geometry (2 hr),77.135002136230469,English 1,82.700000762939453,English 2,84.219997406005859,World Affairs,89.104999542236328,Biology 1,87.590000152587891,Physics 1,80.119998931884766,Chemistry 1,45.840000152587891
2240044,Algebra 1,59.529998779296875,Geometry In,67.259998321533203,English 1,12.899999618530273,English 1 In,75.64000129699707,World Affairs,26.690000534057617,Biology 1,64.839996337890625,,,,
2240044,Algebra 1,59.529998779296875,Geometry In,67.259998321533203,English 1,12.899999618530273,English 1 In,75.64000129699707,World Affairs,26.690000534057617,Biology 1 In,74.269996643066406,,,,
2240044,Algebra 1,59.529998779296875,Geometry In,67.259998321533203,English 1,12.899999618530273,English 1 In,75.64000129699707,World Affairs In,68.730003356933594,Biology 1,64.839996337890625,,,,
2240044,Algebra 1,59.529998779296875,Geometry In,67.259998321533203,English 1,12.899999618530273,English 1 In,75.64000129699707,World Affairs In,68.730003356933594,Biology 1 In,74.269996643066406,,,,
2240044,Algebra 1,59.529998779296875,Geometry In,67.259998321533203,English 1 In,97.550003051757813,English 1 In,75.64000129699707,World Affairs,26.690000534057617,Biology 1,64.839996337890625,,,,
